Drug Induced Liver Injury Rank (DILIrank) Dataset Ver 2.0 | FDA,,,,,,
LTKBID,CompoundName,SeverityClass,LabelSection,vDILI-Concern,Comment,
LT02899,Canagliflozin,0,No match,vLess-DILI-concern,New,
LT02432,Canakinumab,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01022,Candesartan cilexetil,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT02516,Cangrelor,0,No match,vNo-DILI-concern,New,
LT03645,Cannabidiol,3,Warnings & precautions,Ambiguous-DILI-concern,New,
LT02018,Capecitabine,2,Warnings & precautions,vLess-DILI-concern,Revised,
LT03646,Capmatinib hydrochloride,3,Warnings & precautions,vLess-DILI-concern,New,
LT01889,Capreomycin sulfate,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00059,Captopril,7,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00060,Carbamazepine,7,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT01159,Carbenicillin disodium,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT01160,Carbidopa,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT00759,Carbinoxamine maleate,0,No match,vNo-DILI-concern,Unchanged,
LT00061,Carboplatin,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT00898,Carboprost tromethamine,0,No match,vNo-DILI-concern,Unchanged,
LT02395,Carfilzomib,8,Warnings & precautions,vMost-DILI-concern,New,
LT00675,Carglumic acid,0,No match,vNo-DILI-concern,New,
LT03647,Cariprazine hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT02037,Carisoprodol,0,No match,vNo-DILI-concern,Unchanged,
LT00207,Carvedilol,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT03648,Casimersen,0,No match,vNo-DILI-concern,New,
LT01089,Caspofungin acetate,7,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT01166,Cefaclor,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01167,Cefadroxil hemihydrate,7,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01171,Cefazolin sodium,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01289,Cefdinir,7,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01087,Cefditoren pivoxil,2,Adverse reactions,vLess-DILI-concern,Revised,
LT01172,Cefepime hydrochloride,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT03649,Cefiderocol sulfate tosylate,2,Adverse reactions,Ambiguous-DILI-concern,New,
LT01173,Cefixime,4,Adverse reactions,vLess-DILI-concern,Revised,
LT01176,Cefoperazone sodium,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01177,Cefotaxime sodium,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01178,Cefotetan disodium,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01179,Cefoxitin sodium,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT01180,Cefpodoxime proxetil,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01182,Cefprozil,4,Adverse reactions,vLess-DILI-concern,Unchanged,
LT02387,Ceftaroline fosamil,3,Adverse reactions,vLess-DILI-concern,New,
LT00062,Ceftazidime,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01183,Ceftibuten dihydrate,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01281,Ceftizoxime sodium,4,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01185,Ceftriaxone sodium,4,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01186,Cefuroxime sodium,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00252,Celecoxib,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT03650,Cenobamate,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT01189,Cephalexin,4,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01279,Cephradine,4,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT03596,Ceritinib,4,Warnings & precautions,vMost-DILI-concern,New,
LT01412,Certolizumab pegol,4,Adverse reactions,vLess-DILI-concern,Revised,
LT01190,Cetirizine hydrochloride,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00484,Cetrorelix acetate,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT01389,Cetuximab,0,No match,vNo-DILI-concern,Unchanged,
LT01048,Cevimeline hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00065,Chenodiol,8,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT00286,Chlorambucil,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT01196,Chloramphenicol,0,No match,vNo-DILI-concern,Unchanged,
LT00066,Chlorcyclizine hydrochloride,0,No match,vLess-DILI-concern,Unchanged,
LT01198,Chlordiazepoxide hydrochloride,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01201,Chlormezanone,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT01207,Chloroquine phosphate,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01208,Chlorothiazide,2,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00009,Chlorpheniramine maleate,0,No match,vNo-DILI-concern,Unchanged,
LT00068,Chlorpromazine hydrochloride,2,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00379,Chlorpropamide,2,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01213,Chlorthalidone,2,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00067,Chlorzoxazone,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT00328,Cholestyramine,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00529,Cholic acid,3,Warnings & precautions,Ambiguous-DILI-concern,New,
LT03899,Choline c-11,0,No match,vNo-DILI-concern,New,
LT01082,Choriogonadotropin alfa,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT01216,Cidofovir,5,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01025,Cilostazol,5,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT01218,Cimetidine,2,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01209,Cinacalcet hydrochloride,0,No match,vNo-DILI-concern,Unchanged,
LT01219,Cinchophen,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT00178,Ciprofloxacin hydrochloride,7,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT00978,Cisatracurium besylate,0,No match,vNo-DILI-concern,Unchanged,
LT00071,Cisplatin,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT00219,Citalopram hydrobromide,7,Adverse reactions,vLess-DILI-concern,Unchanged,
